slug,en,th,zhCN,ru
finance_realestate_desc,Navigate property financing with trusted banking partners.,นำทางการจัดหาเงินทุนอสังหาริมทรัพย์กับพันธมิตรธนาคารที่เชื่อถือได้,与值得信赖的银行合作伙伴导航房产融资。,Навигация по финансированию недвижимости с надежными банковскими партнерами.
online_marketing_service,Online Marketing,การตลาดออนไลน์,在线营销,Онлайн-маркетинг
online_marketing_desc,Maximize your property's visibility and reach the right audience online.,เพิ่มการมองเห็นทรัพย์สินของคุณให้สูงสุดและเข้าถึงกลุ่มเป้าหมายที่เหมาะสมออนไลน์,最大化您房产的可见度并在线触达正确的受众。,Максимизируйте видимость вашей недвижимости и достигните правильной аудитории онлайн.
buildin_decorate_service,Build-in & Decorate,ก่อสร้างและตกแต่ง,建造和装饰,Строительство и декорирование
buildin_decorate_desc,Create your ideal space with our talented construction and interior design services.,สร้างพื้นที่ในอุดมคติของคุณด้วยบริการก่อสร้างและออกแบบตกแต่งภายในที่มีความสามารถของเรา,通过我们才华横溢的建筑和室内设计服务创造您的理想空间。,Создайте свое идеальное пространство с нашими талантливыми услугами строительства и дизайна интерьера.
meetourdeam_ab,Meet Our Team,พบกับทีมงานของเรา,认识我们的团队,Познакомьтесь с нашей командой
ourexperienced_ab,Our experienced consultants are ready to make your property dreams come true.,ที่ปรึกษาผู้เชี่ยวชาญของเรายินดีที่จะทำให้ความฝันด้านอสังหาริมทรัพย์ของคุณเป็นจริง,我们经验丰富的顾问随时准备助您实现置业梦想。,Наши опытные консультанты готовы воплотить ваши мечты о недвижимости в реальность.
oat_supakornab,Oat - Supakorn,โอ๊ต - ศุภกร,Oat - Supakorn,Oat - Supakorn
ceo_founderab,CEO & Founder,CEO & Founder,首席执行官兼创始人,Генеральный директор и основатель
amy_thannareeab,Amy - Thannaree,เอมี่ - ธัญญ์นรี,Amy - Thannaree,Amy - Thannaree
sale_directorab,Sale Director,Sale Director,销售总监,Директор по продажам
ize_chanyapakab,Ize - Chanyapak,ไอซ์ - ชัญญาภัค,Ize - Chanyapak,Ize - Chanyapak
sale_managerab,Sale Manager,Sale Manager,销售经理,Менеджер по продажам
bamboo_kunyalukab,Bamboo - Kunyaluk,แบมบู - กุญญลักษณ์,Bamboo - Kunyaluk,Bamboo - Kunyaluk
onlinemedia_designab,Online Media Design,ออนไลน์มีเดียดีไซน์,在线媒体设计,Дизайн онлайн-медиа
min_wanvisaab,Min - Wanvisa,มิน - วันวิสา,Min - Wanvisa,Min - Wanvisa
rental_managementab,Rental Management,การจัดการให้เช่า,租赁管理,Управление арендой
